StudyHours,Attendance,AssignmentScore,PreviousExamScore,SleepHours,Participation,Pass
10,68,90,75,7.8,67,1
4,57,49,46,4.9,44,0
8,97,63,82,6.5,92,1
7,94,42,37,6.0,50,1
9,50,39,56,4.7,86,1
8,71,63,75,5.8,82,1
5,66,81,79,4.3,75,1
2,56,79,100,4.1,43,1
5,74,36,32,4.7,46,0
8,94,61,93,8.8,68,1
10,53,70,73,6.7,38,1
9,85,70,82,8.8,35,1
9,55,60,53,6.2,52,1
1,80,77,89,5.6,88,0
9,68,61,32,6.5,75,1
7,93,54,49,6.2,67,1
9,88,45,75,4.5,43,1
8,76,72,44,7.2,91,1
1,59,40,54,5.1,64,0
8,75,57,100,7.1,48,1
8,68,81,46,7.3,59,1
3,88,80,38,4.8,54,0
1,52,46,67,4.3,69,0
8,94,47,77,7.9,43,1
3,62,96,89,6.3,55,1
3,99,94,92,4.3,51,1
1,77,77,31,9.0,77,0
5,69,39,40,4.3,80,1
10,77,71,93,7.5,32,1
7,57,65,50,8.9,71,1
10,90,43,47,5.2,48,1
9,88,85,93,4.7,57,1
7,50,63,67,4.6,74,1
9,52,74,61,5.5,100,1
8,62,75,40,4.5,92,1
2,77,45,74,7.5,48,0
1,98,57,62,4.3,76,0
7,74,35,70,6.5,43,1
7,82,80,37,9.0,67,1
8,87,55,40,8.1,82,1
5,55,70,80,7.1,90,1
3,93,88,70,5.5,65,1
8,94,91,46,7.1,69,1
6,81,35,75,6.6,59,1
3,94,97,61,6.1,38,0
1,96,88,83,4.7,93,1
3,70,89,49,8.4,62,1
5,65,74,62,6.2,81,1
3,70,49,69,5.0,43,0
1,60,55,61,5.8,82,1
5,86,81,31,6.1,88,1
10,85,87,62,8.1,70,1
7,84,43,59,7.7,97,1
7,68,86,62,7.8,97,1
9,69,91,55,4.1,37,1
10,67,60,51,6.1,31,1
10,96,75,95,6.4,70,1
3,90,69,67,4.1,84,1
7,98,97,75,5.3,45,1
1,63,59,44,7.8,91,0
4,64,72,73,4.7,77,1
4,80,36,78,6.7,59,1
5,50,41,90,5.1,41,0
7,52,68,96,4.1,64,1
7,65,51,35,5.2,40,1
4,72,77,38,8.9,93,0
7,60,93,35,8.0,79,1
3,61,85,61,8.8,50,1
6,59,88,70,6.4,98,1
2,81,58,37,4.5,77,0
10,65,59,79,6.7,49,1
9,57,86,91,6.3,96,1
5,87,67,91,8.2,73,1
6,61,83,36,4.5,62,1
4,73,63,33,6.4,90,1
10,77,97,35,4.8,38,1
7,57,56,87,5.6,97,1
9,77,60,51,7.7,64,1
7,85,62,55,6.4,94,1
1,75,83,32,5.9,37,0
1,57,83,70,6.0,74,0
9,99,54,89,6.3,76,1
9,77,97,43,7.9,69,1
4,77,95,41,8.5,83,1
9,86,83,41,8.8,75,1
3,90,35,42,7.9,76,1
7,85,47,54,5.6,44,1
6,76,85,74,7.4,48,1
8,66,90,48,6.2,55,1
9,58,96,84,5.3,81,1
5,82,66,74,8.2,51,1
1,69,64,37,4.2,50,0
3,62,63,82,8.5,80,1
10,77,83,84,6.3,67,1
8,97,79,61,7.2,49,1
6,78,64,80,7.3,58,1
8,62,50,73,8.5,80,1
9,95,74,99,7.2,33,1
4,84,53,47,7.1,84,1
1,55,52,51,4.3,100,0
1,67,35,66,6.6,57,0
10,100,81,85,4.8,33,1
4,54,100,88,7.7,51,1
7,96,72,32,6.6,74,1
2,74,85,57,7.4,96,1
3,51,97,64,4.2,95,1
1,59,38,90,4.4,63,0
5,79,35,83,7.6,84,1
1,99,42,92,4.4,30,0
8,94,63,36,4.4,67,1
1,54,89,78,4.1,35,0
1,82,37,60,8.8,54,0
2,50,66,87,7.7,46,0
2,67,44,90,5.8,90,1
6,81,68,53,5.5,41,1
7,96,89,49,5.7,35,1
5,98,66,66,7.9,56,1
1,60,84,33,7.3,37,0
1,70,41,49,4.9,94,0
3,75,42,89,4.9,86,0
2,74,99,53,4.5,69,1
5,71,91,79,7.3,43,1
10,76,93,78,7.8,64,1
6,98,88,80,5.3,77,1
7,62,85,65,4.1,85,1
4,82,42,95,4.4,78,1
7,83,68,63,8.8,42,1
8,90,69,65,5.5,90,1
1,84,66,35,7.8,78,0
6,50,80,68,7.1,75,1
8,70,50,71,5.9,91,1
5,97,71,87,5.0,37,1
4,55,88,41,4.6,72,1
2,77,48,32,7.1,49,0
6,66,89,47,7.9,68,1
6,54,82,69,7.2,78,1
1,80,41,50,6.7,93,1
9,54,41,44,4.2,91,1
6,87,67,55,8.8,83,1
3,52,57,37,8.0,38,0
4,72,53,71,5.5,66,0
4,86,53,73,8.9,78,1
3,86,70,43,7.0,70,0
10,59,63,31,6.9,46,1
3,59,94,66,7.7,50,1
3,68,36,98,8.1,80,1
4,66,35,67,7.3,88,0
7,70,81,70,4.6,68,1
4,63,54,91,5.7,84,1
9,58,45,89,8.6,70,1
1,95,36,43,5.1,68,0
8,50,46,31,5.9,42,1
7,100,54,99,6.2,93,1
2,94,39,46,6.2,40,0
8,62,71,57,7.1,48,1
1,53,72,95,8.7,40,1
9,50,43,64,5.2,75,1
9,98,87,34,4.6,74,1
2,89,78,94,5.0,30,1
7,81,58,69,8.4,69,1
10,83,64,85,7.2,48,1
3,77,93,65,5.4,90,1
7,80,48,74,8.1,41,1
10,57,43,52,8.3,90,1
9,88,74,76,8.2,62,1
4,75,100,60,8.6,74,1
1,83,59,40,5.3,98,0
2,52,56,39,7.8,37,0
1,99,38,96,6.3,54,1
5,61,60,43,8.2,75,1
5,50,92,39,7.6,59,1
7,93,63,30,7.9,76,1
9,54,71,34,7.3,78,1
9,79,52,49,4.9,76,1
3,79,76,37,6.7,47,1
3,66,75,72,8.9,95,1
3,97,72,30,8.7,97,1
4,96,68,86,4.2,62,1
8,72,51,93,4.8,65,1
6,64,71,57,4.7,48,1
8,86,59,66,7.6,57,1
1,70,61,76,8.1,69,0
8,63,91,66,5.1,44,0
4,51,65,78,6.5,70,1
1,60,40,73,8.2,68,0
8,100,74,85,7.7,31,1
4,88,46,57,6.7,92,1
6,87,87,35,7.0,58,1
8,83,44,90,6.5,95,1
4,87,79,49,5.5,80,1
3,99,51,31,6.8,39,1
9,83,60,66,7.4,43,1
3,67,96,49,8.4,80,1
9,79,80,55,7.2,68,1
2,64,98,58,7.8,57,1
2,76,36,30,4.8,32,0
2,100,88,64,6.3,99,1
6,83,99,99,4.0,56,1
3,87,85,88,5.2,31,1
9,82,87,98,7.6,67,1
4,73,70,62,9.0,32,1
1,64,60,80,4.5,45,0
4,79,63,41,6.0,69,0
1,91,55,49,8.0,31,0
5,100,45,82,5.0,70,0
4,66,74,72,6.8,41,1
8,54,45,79,7.7,64,1
8,78,70,58,7.1,94,1
7,53,93,86,4.9,84,1
3,59,73,68,5.8,74,1
1,66,88,85,7.9,91,1
1,59,89,72,6.8,78,0
3,66,58,79,4.0,54,1
6,69,56,52,7.8,52,1
7,73,90,73,4.2,53,1
6,54,67,67,7.7,67,1
6,83,70,52,5.0,57,1
6,55,54,74,8.8,50,1
3,51,96,81,5.8,83,1
6,62,60,79,5.6,47,1
8,92,100,37,4.7,65,1
2,92,74,30,5.5,74,0
5,97,51,37,8.4,82,1
1,60,35,58,9.0,59,1
1,100,95,34,5.8,89,1
5,96,77,76,6.2,61,1
3,72,76,63,7.6,96,1
4,65,59,94,8.4,96,1
3,80,73,84,7.0,57,1
1,60,69,72,6.0,73,0
1,65,37,59,6.1,70,0
5,57,78,46,7.5,92,1
6,53,85,55,4.0,52,1
3,89,46,37,7.1,77,0
9,53,53,76,5.8,61,1
5,74,78,75,8.0,86,1
8,52,93,97,4.5,62,1
1,81,83,62,6.9,53,1
5,52,95,30,6.4,68,1
3,76,51,48,7.2,63,1
1,78,91,60,4.3,85,0
4,81,89,43,6.9,57,1
5,99,81,82,6.8,66,1
7,100,46,77,6.8,36,1
1,68,96,98,7.0,97,1
3,70,42,91,7.4,66,1
2,54,55,95,8.0,85,1
9,67,59,93,5.3,94,1
10,77,46,99,8.1,94,1
6,91,49,92,6.5,76,1
10,71,93,62,4.4,49,1
3,70,60,70,4.3,48,1
8,55,60,77,5.7,58,1
8,50,81,42,7.9,89,1
2,54,66,60,7.5,47,0
6,90,44,97,7.9,64,1
7,61,50,33,6.6,72,1
2,75,51,48,6.2,40,0
10,95,57,99,4.7,78,1
2,83,60,42,5.6,67,0
10,98,41,52,6.2,93,1
1,63,48,30,4.4,98,0
8,75,41,83,5.1,37,1
1,94,43,100,7.0,63,1
9,76,82,44,7.7,77,1
6,58,93,94,9.0,85,1
7,75,73,100,8.7,94,1
10,96,52,44,7.2,60,1
7,71,93,50,6.1,33,1
10,96,51,48,7.2,79,1
3,79,48,89,7.9,98,1
2,92,65,62,4.6,59,0
9,97,58,78,6.0,88,1
8,66,94,64,8.2,96,1
10,75,79,73,5.9,74,1
7,85,37,40,6.9,33,1
9,50,71,95,6.9,55,1
4,57,77,75,4.9,56,1
4,98,74,38,5.8,75,1
1,84,89,32,5.7,93,1
8,64,73,55,4.1,80,1
3,96,49,77,4.1,79,1
7,71,38,95,8.2,35,1
2,63,59,99,5.4,88,0
2,75,47,57,6.6,44,0
7,77,67,55,5.5,59,1
6,72,50,54,8.7,71,1
3,63,76,41,5.3,66,1
9,73,100,34,6.1,71,1
10,51,89,77,8.4,64,1
6,94,76,66,8.2,35,1
10,75,68,73,4.9,97,1
10,63,64,44,8.0,47,1
6,100,47,72,6.3,58,1
1,56,47,77,6.4,88,0
4,52,52,99,4.7,76,1
10,96,66,75,4.4,46,1
6,72,73,72,7.6,51,1
6,95,80,50,6.5,97,1
5,92,63,52,6.2,98,1
1,96,96,76,7.6,66,1
8,94,96,44,7.8,78,1
5,67,91,54,4.8,42,1
5,87,50,65,7.1,63,1
7,84,90,80,4.7,82,1
4,100,44,44,7.8,80,1
6,64,64,97,7.3,32,1
4,74,59,50,8.8,71,1
3,86,39,42,4.3,61,0
7,77,99,48,4.3,80,1
8,59,83,63,5.4,75,1
4,88,37,97,5.3,50,1
2,66,79,81,5.2,73,0
10,88,48,56,8.5,40,1
3,71,64,58,5.2,97,1
1,75,52,57,5.4,30,0
8,93,96,64,7.8,92,1
3,74,71,37,6.2,53,0
10,66,59,45,7.9,42,1
7,62,82,65,4.3,40,1
10,69,99,59,6.4,80,1
5,74,87,47,4.2,46,1
10,53,49,31,4.3,53,1
5,59,83,78,8.5,48,1
7,52,46,33,4.7,66,1
9,90,93,36,6.7,37,1
5,94,71,68,6.1,57,1
1,67,95,42,5.7,34,0
10,96,77,60,8.5,46,1
10,85,73,100,4.1,65,1
1,96,90,92,7.3,48,1
2,71,97,85,8.8,93,1
6,83,80,71,6.8,40,1
9,96,45,90,8.7,83,1
8,57,96,71,4.3,74,1
5,89,59,85,6.1,76,1
1,98,86,65,5.3,41,0
7,93,38,97,7.7,50,1
5,68,93,36,8.9,40,1
6,91,54,83,5.3,34,1
7,90,97,30,7.3,85,1
3,86,88,73,5.0,49,1
10,55,91,74,6.8,70,1
3,75,75,76,6.3,75,1
5,83,37,42,8.9,41,1
6,94,40,51,7.0,99,1
9,55,39,50,5.7,46,1
5,86,39,38,4.6,48,0
1,82,88,55,4.8,55,0
4,71,81,38,5.1,77,1
5,70,83,44,5.3,81,1
10,55,43,39,8.3,99,1
10,55,54,71,6.8,84,1
5,97,95,53,6.6,62,1
7,53,69,78,4.6,91,1
4,79,84,55,8.3,52,1
1,60,96,66,7.6,44,0
5,79,51,97,4.3,56,1
7,80,37,79,7.5,93,1
10,73,66,53,6.7,80,1
10,58,47,48,4.4,82,1
6,52,48,89,6.3,80,1
5,100,45,68,6.4,76,1
4,80,90,47,4.8,33,1
2,89,63,48,8.7,36,0
4,86,43,65,8.2,64,1
10,85,59,84,7.3,77,1
10,73,76,98,6.3,74,1
3,80,43,76,6.1,48,0
10,55,74,78,7.3,92,1
1,51,59,62,6.7,67,0
8,69,39,50,4.3,96,1
5,77,45,51,6.6,88,1
4,60,93,77,8.0,98,1
8,53,72,66,6.3,42,1
7,64,39,44,4.3,76,0
2,55,82,64,7.9,90,1
1,98,52,100,5.0,60,1
4,79,71,61,5.3,51,1
8,87,94,40,4.8,72,1
2,100,82,39,5.7,96,1
3,51,62,86,7.8,83,1
1,64,74,54,6.6,39,0
1,60,79,31,5.0,71,0
3,57,96,93,8.4,93,1
5,75,92,64,8.4,50,1
3,100,90,36,8.4,95,1
1,94,74,47,5.2,70,1
1,93,74,96,6.3,53,1
8,54,67,71,8.9,64,1
10,55,40,68,7.9,85,1
2,75,53,70,4.1,59,1
3,53,74,53,4.3,86,0
2,68,93,89,6.3,76,1
3,69,93,75,8.5,64,1
7,82,82,48,6.7,48,1
1,69,75,97,6.5,37,0
10,98,47,71,4.5,55,1
8,61,79,61,7.3,100,1
10,96,87,68,8.1,59,1
10,50,76,65,5.9,36,1
10,75,97,65,7.9,96,1
2,63,61,32,8.8,94,0
3,87,72,37,5.0,65,1
9,86,94,99,6.6,54,1
7,60,41,70,5.4,66,1
4,85,39,97,8.0,30,1
10,62,79,42,6.9,44,1
5,92,92,78,7.2,66,1
2,52,65,89,8.0,42,0
8,82,57,31,6.0,37,1
4,55,76,89,8.6,34,1
9,99,44,34,6.7,89,1
5,59,66,73,4.8,30,1
9,54,87,56,7.5,65,1
4,72,64,61,8.0,64,1
10,59,73,50,5.6,95,1
5,93,65,37,8.3,92,1
9,51,36,79,8.5,52,1
8,62,46,96,5.4,38,1
3,89,73,73,8.9,63,1
1,51,100,87,4.7,75,0
3,69,47,32,5.0,33,0
4,50,80,99,4.9,59,1
2,86,61,31,8.5,32,0
1,58,51,73,7.3,43,0
7,66,94,31,4.8,89,1
8,58,98,64,6.2,74,1
7,60,69,59,7.1,63,1
5,64,64,37,4.4,74,1
1,73,97,51,8.4,90,1
7,87,62,73,8.0,45,1
7,84,94,87,6.5,95,1
9,79,71,65,8.8,69,1
3,80,56,98,6.1,46,1
